instructions_key_resp_3.keys,instructions_key_resp_3.rt,participant ID,date,expName,psychopyVersion,OS,frameRate,cal_mouse_start.x,cal_mouse_start.y,cal_mouse_start.leftButton,cal_mouse_start.midButton,cal_mouse_start.rightButton,cal_mouse_start.time,cal_mouse_start.clicked_name,mouse_cal_end_2.x,mouse_cal_end_2.y,mouse_cal_end_2.leftButton,mouse_cal_end_2.midButton,mouse_cal_end_2.rightButton,mouse_cal_end_2.time,mouse_cal_end_2.clicked_name,instructions_key_resp.keys,instructions_key_resp.rt,instructions_key_resp_2.keys,instructions_key_resp_2.rt,mouse_startx.x,mouse_startx.y,mouse_startx.leftButton,mouse_startx.midButton,mouse_startx.rightButton,mouse_startx.time,mouse_startx.clicked_name,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.time,mouse.clicked_name,loop_spatial.thisRepN,loop_spatial.thisTrialN,loop_spatial.thisN,loop_spatial.thisIndex,loop_spatial.ran,key_resp.keys,key_resp.rt,key_resp_6.keys,key_resp_11.keys,key_resp_9.keys,practice_loop.thisRepN,practice_loop.thisTrialN,practice_loop.thisN,practice_loop.thisIndex,practice_loop.ran,durations,disp,start,jitter,display,spatial,temporal,catchn,catchd,x_loc,box_loc,top_hg_loc,bottom_hg_loc,ystartdistractor1,ystartdistractor2,ystarttarget,xstartdistractor1,xstartdistractor2,durationsdistractor1,durationsdistractor2,jitterdistractor1,jitterdistractor2,dispdistractor1,dispdistractor2,practicetrialend_key_resp.keys,practicetrialend_key_resp.rt,mouse_hg.x,mouse_hg.y,mouse_hg.leftButton,mouse_hg.midButton,mouse_hg.rightButton,mouse_hg.clicked_name,mouse_hg_2.x,mouse_hg_2.y,mouse_hg_2.leftButton,mouse_hg_2.midButton,mouse_hg_2.rightButton,mouse_hg_2.clicked_name,loop_temporal_exp.thisRepN,loop_temporal_exp.thisTrialN,loop_temporal_exp.thisN,loop_temporal_exp.thisIndex,loop_temporal_exp.ran,key_resp_2.keys,break_key_resp.keys,exp_loop.thisRepN,exp_loop.thisTrialN,exp_loop.thisN,exp_loop.thisIndex,exp_loop.ran,loop_spatial_exp.thisRepN,loop_spatial_exp.thisTrialN,loop_spatial_exp.thisN,loop_spatial_exp.thisIndex,loop_spatial_exp.ran
space,0.7736,1,2022-10-27_24h23.42.884,RRcb_task,2022.2.4,Win32,61.36098668,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,1,2022-10-27_24h23.42.884,RRcb_task,2022.2.4,Win32,61.36098668,-205,-3,1,0,0,1.0725,c_start_x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,1,2022-10-27_24h23.42.884,RRcb_task,2022.2.4,Win32,61.36098668,,,,,,,,203,-2,1,0,0,1.1087,c_end_x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,1,2022-10-27_24h23.42.884,RRcb_task,2022.2.4,Win32,61.36098668,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,1,2022-10-27_24h23.42.884,RRcb_task,2022.2.4,Win32,61.36098668,,,,,,,,,,,,,,,space,0.6714,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,1,2022-10-27_24h23.42.884,RRcb_task,2022.2.4,Win32,61.36098668,,,,,,,,,,,,,,,,,space,0.6436,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,1,2022-10-27_24h23.42.884,RRcb_task,2022.2.4,Win32,61.36098668,,,,,,,,,,,,,,,,,,,-814,-425,1,0,0,1.2803,startx,-810,-439,1,0,0,0.4314,polygon,0,0,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,1,2022-10-27_24h23.42.884,RRcb_task,2022.2.4,Win32,61.36098668,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,space,2.3952,,,,0,0,0,0,1,1,200,-400,100,line,1,0,0,"please press the ""c"" key on your keyboard",,,,,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,1,2022-10-27_24h23.42.884,RRcb_task,2022.2.4,Win32,61.36098668,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,space,2.17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,1,2022-10-27_24h23.42.884,RRcb_task,2022.2.4,Win32,61.36098668,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-809,-417,1,0,0,hg_bottom,-807,-425,1,0,0,hg_bottom_2,0,0,0,0,1,,,,,,,,,,,,
